cell_id,therm_prs
5564779,0.26839
5564780,0.25639
5568396,0.27223
5568397,0.2598
5568398,0.21151
5572013,0.2482
5572014,0.23254
5633287,0.15231
5636903,0.16252
5636904,0.1513
5636905,0.14072
5640521,0.14431
5640522,0.13713
5647759,0.11198
5647760,0.10711
5651368,0.1435
5651369,0.1342
5651370,0.13437
5651375,0.12144
5651376,0.12322
5651377,0.11068
5654986,0.14807
5654987,0.13675
5654992,0.13248
5654993,0.13164
5654994,0.09377
5662231,0.0324
5662232,0.0263
5665848,0.03106
5665849,0.00931
5687553,0
5687554,0.0021
5687555,0.00631
5691170,5.4e-4
5691171,0
5691172,0
5691173,0.00739
5694788,0
5694789,0
5709258,0.00814
5709259,0.004
5709260,0
5712875,0.01595
5712876,0.07474
5712877,0.03867
5712878,0
5716492,0.01033
5716493,0.03778
5716494,0.02661
5716495,0
5730961,0.05065
5730962,0.07634
5734578,0.04361
5734579,0.086
5734580,0.06176
5738195,0.0268
5738196,0.04587
5745425,0
5745426,0.02614
5745427,0.02498
5745428,0.0508
5749042,0.00515
5749043,0.03368
5749044,0.02968
5749045,0.01364
5752660,0
5752661,0
5752662,0
5781478,0.00603
5785095,0.00717
5785096,0.01987
5785097,0.03386
5785098,0.00834
5785099,0
5785100,0
5785101,0
5785102,0
5788710,0
5788713,0
5788714,0
5788715,0.078
5788716,0.0832
5788717,0.09297
5788718,0.11795
5788719,5.4e-4
5788720,0.0065
5788721,0
5788722,0
5788723,0
5788724,0
5788725,0
5792331,0.04009
5792332,0.03373
5792333,0.03967
5792334,0.07968
5792335,0.09768
5792336,0.09638
5792337,0.08228
5792338,0.04242
5792339,0.02731
5792340,0.07355
5792341,0.06793
5792342,0.01331
5795954,0.05052
5795955,0.04501
5795956,0.03798
5795957,0.05384
5795958,0.0616
5795959,0.04942
5799506,0.20768
5799507,0.18587
5803124,0.18314
5803125,0.18088
5803126,0.22919
5803127,0.17343
5803128,0.16193
5803129,0.17199
5803130,0.16662
5803131,0.12588
5803134,0.06076
5803135,0.03075
5806742,0.18448
5806743,0.21084
5806744,0.1913
5806745,0.15446
5806746,0.16869
5806747,0.18668
5806748,0.16699
5806751,0.07105
5806752,0.0391
5810360,0.18103
5810361,0.1738
5810362,0.16887
5810363,0.18602
5810364,0.18311
5810368,0.09224
5810369,0.03931
5810370,0
5813978,0.18714
5813979,0.1768
5813985,0.12168
5813986,0.07849
5813987,0.00866
5817593,0.18055
5817595,0.17795
5817596,0.16214
5832048,0.14825
5832049,0.12971
5832050,0.12506
5832051,0.13923
5832052,0.13549
5832053,0.14417
5832054,0.15949
5835662,0.15109
5835663,0.14723
5835664,0.1541
5835665,0.15705
5835666,0.12677
5835667,0.11788
5835670,0.19922
5835671,0.19153
5835672,0.16869
5839277,0.15363
5839278,0.14737
5839279,0.1425
5839280,0.13966
5839281,0.15014
5839282,0.16291
5839283,0.18173
